Date,Customer_ID,Product_Category,Product_Value,Rating,Return
07-Jan-2015,1015882,B,45.7,0,N
07-Jan-2015,1016091,B,25.3,4,N
07-Jan-2015,1017898,A,39.3,2,N
07-Jan-2015,1018111,C,40.7,5,N
07-Jan-2015,1018875,D,33.6,5,N
08-Jan-2015,1013384,A,10.79,4,N
08-Jan-2015,1015185,B,63.6,5,N
08-Jan-2015,1016028,C,58.6,0,N
08-Jan-2015,1016934,E,14.9,4,N
08-Jan-2015,1019555,A,54.4,1,Y
09-Jan-2015,1010798,A,25.2,4,N
09-Jan-2015,1011041,D,21.2,0,N
09-Jan-2015,1011236,C,56.4,5,N
09-Jan-2015,1012933,A,28.1,3,N
09-Jan-2015,1017321,C,20.9,5,N
09-Jan-2015,1018938,B,42.2,5,N
09-Jan-2015,1019052,D,37.3,3,N
09-Jan-2015,1019326,D,19.5,0,N
09-Jan-2015,1019566,A,34.5,1,N
10-Jan-2015,1010333,C,36.7,5,N
10-Jan-2015,1015337,E,24.2,5,N
10-Jan-2015,1018275,A,25.2,5,N
10-Jan-2015,1018875,E,18.3,1,N
11-Jan-2015,1011938,E,44.5,0,N
11-Jan-2015,1017510,D,21.2,1,N
11-Jan-2015,1017941,E,8.4,5,N
11-Jan-2015,1019706,D,34.7,3,N
12-Jan-2015,1012364,E,65.6,5,N
12-Jan-2015,1014120,E,35.2,3,N
12-Jan-2015,1014120,B,55.3,4,N
12-Jan-2015,1014272,B,21.6,3,N
12-Jan-2015,1015629,D,24.1,4,N
12-Jan-2015,1015941,E,43.4,5,N
12-Jan-2015,1018453,E,53.4,0,N
12-Jan-2015,1018938,B,16.1,3,N
13-Jan-2015,1013276,A,52.9,5,N
13-Jan-2015,1014954,D,41.8,5,N
13-Jan-2015,1017261,C,32.6,1,N
14-Jan-2015,1011355,D,30.1,5,N
14-Jan-2015,1011779,B,24.5,5,N
14-Jan-2015,1012348,A,10.12,5,N
14-Jan-2015,1015061,A,19.6,3,N
14-Jan-2015,1015231,B,46.7,3,N
14-Jan-2015,1016660,A,13.1,5,N
14-Jan-2015,1016817,B,12.6,5,N
14-Jan-2015,1019252,E,30.4,2,N
14-Jan-2015,1019326,B,22.8,5,N
15-Jan-2015,1011157,A,12.7,0,N
15-Jan-2015,1011649,D,7.8,5,N
15-Jan-2015,1012660,A,45.6,4,N
15-Jan-2015,1017751,A,42.3,4,N
15-Jan-2015,1018743,C,46,0,N
16-Jan-2015,1011309,C,10.63,4,N
16-Jan-2015,1011543,D,42.2,0,N
16-Jan-2015,1012348,C,43.2,0,N
16-Jan-2015,1012945,E,25.9,3,N
16-Jan-2015,1014429,D,41.2,4,N
16-Jan-2015,1017056,B,35.1,5,N
16-Jan-2015,1019516,E,33.4,5,N
17-Jan-2015,1010392,A,13.7,4,N
17-Jan-2015,1010784,D,38.8,5,N
17-Jan-2015,1011508,E,12.7,5,N
17-Jan-2015,1013394,E,19.5,5,N
17-Jan-2015,1014650,A,43.4,4,N
17-Jan-2015,1015142,A,28.7,5,N
17-Jan-2015,1015420,C,39.5,4,N
17-Jan-2015,1016744,B,16.3,0,N
17-Jan-2015,1017261,D,19.7,3,N
17-Jan-2015,1018596,B,39.5,3,N
18-Jan-2015,1010754,B,19.5,5,N
18-Jan-2015,1010955,E,22.6,4,N
18-Jan-2015,1012996,E,44.2,5,N
18-Jan-2015,1013687,A,47.6,4,N
18-Jan-2015,1016155,D,45.3,5,N
18-Jan-2015,1016817,A,45.7,0,N
19-Jan-2015,1010555,E,28,5,N
19-Jan-2015,1011559,D,35.5,5,N
19-Jan-2015,1011918,D,39.9,5,N
19-Jan-2015,1012774,E,17.8,4,N
19-Jan-2015,1013207,C,44.3,4,N
19-Jan-2015,1013273,C,10.33,5,N
19-Jan-2015,1014185,A,20,5,N
19-Jan-2015,1014207,A,31.5,4,N
19-Jan-2015,1014431,A,47,5,N
20-Jan-2015,1010710,E,25,5,N
20-Jan-2015,1011543,E,30,0,N
20-Jan-2015,1012146,E,41.5,0,N
20-Jan-2015,1013388,C,14,5,N
20-Jan-2015,1014202,A,33.3,5,N
20-Jan-2015,1015301,E,31.1,5,N
20-Jan-2015,1016018,B,30.3,5,N
20-Jan-2015,1016384,D,67.7,4,N
20-Jan-2015,1016436,C,40.3,0,N
20-Jan-2015,1017313,C,27.8,0,N
20-Jan-2015,1018904,D,37.2,5,N
20-Jan-2015,1019128,D,5.1,5,N
21-Jan-2015,1011059,C,56,5,N
21-Jan-2015,1012317,E,42.7,5,N
21-Jan-2015,1012395,E,47.7,0,N
21-Jan-2015,1014302,A,8.1,5,N
21-Jan-2015,1014309,B,45.8,5,N
21-Jan-2015,1014450,A,13,5,N
21-Jan-2015,1014550,D,27.7,5,N
21-Jan-2015,1014566,D,43.5,3,N
21-Jan-2015,1017185,A,22.9,3,N
21-Jan-2015,1017490,A,37.1,5,N
21-Jan-2015,1018068,C,13.4,0,N
21-Jan-2015,1018412,C,28.8,3,N
21-Jan-2015,1019296,D,17.3,3,N
21-Jan-2015,1019500,A,15.5,5,N
22-Jan-2015,1011716,E,37,5,N
22-Jan-2015,1011752,B,10.1,0,N
22-Jan-2015,1011849,A,53.6,5,N
22-Jan-2015,1013510,C,5.8,4,N
22-Jan-2015,1013998,D,28.1,3,N
22-Jan-2015,1015160,C,37.9,4,N
22-Jan-2015,1015171,C,43.3,5,N
22-Jan-2015,1015998,B,34.2,0,N
22-Jan-2015,1016337,A,28.6,0,N
22-Jan-2015,1017313,E,19.9,5,N
23-Jan-2015,1012710,C,36.2,3,N
23-Jan-2015,1012980,A,36.8,5,N
23-Jan-2015,1013329,B,42.7,3,N
23-Jan-2015,1013800,C,25.6,4,N
23-Jan-2015,1016309,B,79.4,4,N
23-Jan-2015,1016494,D,5.9,0,N
23-Jan-2015,1016515,E,36.1,4,N
23-Jan-2015,1018938,E,43.2,0,N
24-Jan-2015,1010438,C,37.3,0,N
24-Jan-2015,1010681,B,47.8,5,N
24-Jan-2015,1011172,E,14.9,5,N
24-Jan-2015,1013169,A,36.3,4,N
24-Jan-2015,1014068,A,16.2,0,N
24-Jan-2015,1014132,E,10.45,5,N
24-Jan-2015,1014185,C,12.8,0,N
24-Jan-2015,1014485,B,10.38,3,N
24-Jan-2015,1014667,E,49.4,5,N
24-Jan-2015,1015704,B,52.2,4,N
24-Jan-2015,1016155,C,32.7,5,N
24-Jan-2015,1016303,A,24.8,3,N
24-Jan-2015,1018934,A,23.5,5,N
25-Jan-2015,1010490,C,29,5,N
25-Jan-2015,1011157,C,10,5,N
25-Jan-2015,1012785,D,28,0,N
25-Jan-2015,1012785,E,17.7,5,N
25-Jan-2015,1013850,E,8.5,3,N
25-Jan-2015,1014220,A,36.7,0,N
25-Jan-2015,1014431,B,61.5,4,N
25-Jan-2015,1014566,A,55.6,5,N
25-Jan-2015,1015740,E,74.4,5,N
25-Jan-2015,1016053,A,68.4,3,N
25-Jan-2015,1016315,A,8.6,3,N
25-Jan-2015,1017838,C,29.4,5,N
25-Jan-2015,1018459,C,30.9,1,N
25-Jan-2015,1018601,C,30.9,5,N
25-Jan-2015,1019188,E,10.49,5,N
26-Jan-2015,1010876,E,62.5,4,N
26-Jan-2015,1010983,B,52.9,4,N
26-Jan-2015,1011482,D,9.2,5,N
26-Jan-2015,1011906,D,52.3,4,N
26-Jan-2015,1011957,B,64.3,5,N
26-Jan-2015,1012336,C,32.6,5,N
26-Jan-2015,1013257,C,26.9,5,N
26-Jan-2015,1015540,D,48.7,5,N
26-Jan-2015,1015798,A,7.5,4,N
26-Jan-2015,1015922,A,45.2,5,N
26-Jan-2015,1016590,D,64.2,3,N
26-Jan-2015,1017227,C,25.3,5,N
26-Jan-2015,1017333,D,10.23,4,N
26-Jan-2015,1018045,A,17.4,5,N
26-Jan-2015,1018288,E,58.5,5,N
26-Jan-2015,1018389,D,46.7,1,N
27-Jan-2015,1010858,A,15.3,5,N
27-Jan-2015,1011188,E,34.9,0,N
27-Jan-2015,1015530,B,53.1,5,N
27-Jan-2015,1016571,A,20.6,0,N
27-Jan-2015,1017241,B,10.77,5,N
27-Jan-2015,1017313,D,49.2,5,N
27-Jan-2015,1017862,A,75.6,5,N
27-Jan-2015,1018559,D,28.6,3,N
27-Jan-2015,1018760,B,21.7,1,N
28-Jan-2015,1011697,B,44.8,5,N
28-Jan-2015,1013966,D,38.2,5,N
28-Jan-2015,1015439,A,28.7,5,N
28-Jan-2015,1016091,A,48.7,5,N
28-Jan-2015,1016384,D,74.4,3,N
28-Jan-2015,1017551,B,42.3,5,N
28-Jan-2015,1019110,A,21,0,N
29-Jan-2015,1010936,D,41.1,5,N
29-Jan-2015,1011891,A,33.7,4,N
29-Jan-2015,1012710,A,31.6,0,N
29-Jan-2015,1013110,A,31,5,N
29-Jan-2015,1016118,D,31,5,N
29-Jan-2015,1018523,E,23.4,5,N
29-Jan-2015,1019282,C,27.6,5,N
30-Jan-2015,1010663,A,56.6,5,N
30-Jan-2015,1010920,C,19.7,5,N
30-Jan-2015,1011236,A,33,5,N
30-Jan-2015,1013218,E,23.6,5,N
30-Jan-2015,1013538,C,52.9,5,N
30-Jan-2015,1017056,B,11.6,2,N
30-Jan-2015,1018620,C,51.7,5,N
31-Jan-2015,1010341,B,30.6,5,N
31-Jan-2015,1010857,C,14,5,N
31-Jan-2015,1011309,E,58.7,5,N
31-Jan-2015,1012209,D,52.4,5,N
31-Jan-2015,1013370,B,30.1,5,N
31-Jan-2015,1013917,E,25.2,3,N
31-Jan-2015,1017293,D,20.2,5,N
31-Jan-2015,1018005,C,56.7,4,N
01-Feb-2015,1014068,D,7.3,4,N
01-Feb-2015,1014206,D,10.54,0,N
01-Feb-2015,1016023,D,40,5,N
01-Feb-2015,1016528,A,32.5,4,N
01-Feb-2015,1017951,C,63,5,N
02-Feb-2015,1010754,B,61,5,N
02-Feb-2015,1013406,D,38.1,3,N
02-Feb-2015,1013847,A,41.9,0,N
02-Feb-2015,1016264,D,12.9,3,N
02-Feb-2015,1016712,A,31.1,3,N
02-Feb-2015,1017096,B,29,1,N
03-Feb-2015,1010994,B,48.9,5,N
03-Feb-2015,1011116,C,22.8,5,N
03-Feb-2015,1013218,D,15.9,5,N
03-Feb-2015,1013257,B,34.7,4,N
03-Feb-2015,1013565,A,24.5,5,N
03-Feb-2015,1014742,A,30,0,N
03-Feb-2015,1015441,B,52,4,N
03-Feb-2015,1016998,C,42.3,5,N
03-Feb-2015,1017202,C,10.8,5,N
03-Feb-2015,1017222,B,38.4,5,N
04-Feb-2015,1011048,E,30.7,4,N
04-Feb-2015,1012886,C,16,5,N
04-Feb-2015,1012910,B,36.3,4,N
04-Feb-2015,1013583,E,72.4,3,N
04-Feb-2015,1016166,C,51.6,3,N
04-Feb-2015,1016865,D,39.6,2,N
04-Feb-2015,1016998,D,33.9,5,N
05-Feb-2015,1011746,A,18.1,0,N
05-Feb-2015,1012395,D,29.2,5,N
05-Feb-2015,1013624,E,48.1,5,N
05-Feb-2015,1014467,B,31.5,0,N
05-Feb-2015,1014801,A,51.1,4,N
05-Feb-2015,1016053,C,10.97,5,N
05-Feb-2015,1016430,E,54.9,3,N
05-Feb-2015,1017624,E,47.1,4,N
06-Feb-2015,1010532,B,12,5,N
06-Feb-2015,1015141,A,8.3,5,N
06-Feb-2015,1016037,B,10,4,N
06-Feb-2015,1016430,D,26.6,5,N
06-Feb-2015,1017085,E,17.2,1,N
06-Feb-2015,1018458,C,12.5,2,N
06-Feb-2015,1019156,D,21.1,5,N
06-Feb-2015,1019607,E,13.5,5,N
07-Feb-2015,1010289,B,59,5,N
07-Feb-2015,1010584,E,52,4,N
07-Feb-2015,1010696,C,57.7,5,N
07-Feb-2015,1015084,B,32.5,4,N
07-Feb-2015,1015169,C,26.4,5,N
07-Feb-2015,1018426,D,54,4,N
07-Feb-2015,1019200,D,42.5,0,N
08-Feb-2015,1010637,C,29,5,N
08-Feb-2015,1014046,D,39.4,4,N
08-Feb-2015,1017814,D,51.9,1,N
08-Feb-2015,1018181,E,55.5,4,N
09-Feb-2015,1011212,E,25.9,5,N
09-Feb-2015,1011258,C,43.6,5,N
09-Feb-2015,1011482,E,36.6,5,N
09-Feb-2015,1011859,C,16.1,5,N
09-Feb-2015,1013343,D,54.1,5,N
09-Feb-2015,1013617,C,43.8,5,N
09-Feb-2015,1014866,A,35.9,5,N
09-Feb-2015,1016817,E,25.8,3,N
09-Feb-2015,1017577,A,51.6,0,N
09-Feb-2015,1017777,A,47.4,4,N
09-Feb-2015,1019359,A,19,0,N
10-Feb-2015,1014502,D,57.6,5,N
10-Feb-2015,1016360,D,32.6,5,N
10-Feb-2015,1016454,A,31.7,3,N
10-Feb-2015,1017546,B,42.8,4,N
10-Feb-2015,1017661,B,28.7,1,N
10-Feb-2015,1018169,C,42.1,1,N
10-Feb-2015,1018646,D,18.6,1,N
10-Feb-2015,1019642,B,65.1,1,N
11-Feb-2015,1010382,E,15.2,5,N
11-Feb-2015,1011525,C,10.6,5,N
11-Feb-2015,1012209,B,42,5,N
11-Feb-2015,1012508,B,75.2,5,N
11-Feb-2015,1012547,C,32.4,4,N
11-Feb-2015,1017992,B,37.5,2,N
11-Feb-2015,1019230,E,25.5,3,N
12-Feb-2015,1013518,E,15,0,N
12-Feb-2015,1013753,A,38.4,4,N
12-Feb-2015,1015171,E,57.3,5,N
12-Feb-2015,1016571,C,47.5,3,N
12-Feb-2015,1019293,C,44.4,2,N
13-Feb-2015,1011713,D,75.8,4,N
13-Feb-2015,1011957,E,37.1,5,N
13-Feb-2015,1013585,A,18.7,5,N
13-Feb-2015,1015120,D,26.4,3,N
13-Feb-2015,1016660,E,17.7,0,N
13-Feb-2015,1018068,D,60.8,2,N
13-Feb-2015,1019500,B,18.1,5,N
14-Feb-2015,1011096,B,65.4,5,N
14-Feb-2015,1011436,D,37,0,N
14-Feb-2015,1016399,C,69.4,0,N
14-Feb-2015,1016744,A,51.5,5,N
15-Feb-2015,1010896,E,10.47,5,N
15-Feb-2015,1012619,C,29.1,5,N
15-Feb-2015,1013510,E,64.8,3,N
15-Feb-2015,1015240,B,42.6,4,N
15-Feb-2015,1017065,E,12.5,2,N
15-Feb-2015,1018727,A,46,0,N
15-Feb-2015,1019535,E,11.5,2,N
16-Feb-2015,1010416,C,33.7,5,N
16-Feb-2015,1011392,E,23.6,5,N
16-Feb-2015,1014046,D,62.1,5,N
16-Feb-2015,1014445,B,23.1,5,N
17-Feb-2015,1012017,D,14.5,5,N
17-Feb-2015,1013817,E,22.7,5,N
17-Feb-2015,1014227,C,31.8,4,N
17-Feb-2015,1014485,D,55.2,5,N
17-Feb-2015,1015027,C,22.5,0,N
17-Feb-2015,1017277,C,40.2,1,N
17-Feb-2015,1017292,D,44.5,0,N
17-Feb-2015,1017436,C,50.5,4,N
17-Feb-2015,1017883,C,34.2,5,N
17-Feb-2015,1019078,B,48.6,5,N
18-Feb-2015,1012478,D,43.5,5,N
18-Feb-2015,1016137,C,57.5,3,N
18-Feb-2015,1019273,C,40.1,5,N
19-Feb-2015,1015441,B,54.9,5,N
20-Feb-2015,1011300,C,44.1,4,N
20-Feb-2015,1011790,B,62.1,5,N
20-Feb-2015,1014607,E,43.3,5,N
20-Feb-2015,1016053,B,60.5,5,N
20-Feb-2015,1017313,D,41.5,3,N
20-Feb-2015,1018743,A,22.8,2,N
20-Feb-2015,1019252,D,35.1,5,N
20-Feb-2015,1019634,D,61,5,N
21-Feb-2015,1010416,A,28.6,5,N
21-Feb-2015,1011228,E,18.3,5,N
21-Feb-2015,1015155,C,61.2,5,N
21-Feb-2015,1015482,E,24.7,4,N
21-Feb-2015,1016528,D,28.6,5,N
21-Feb-2015,1018921,D,47.9,5,N
21-Feb-2015,1019161,C,21.9,1,Y
22-Feb-2015,1011559,A,50.3,0,N
22-Feb-2015,1012297,A,61.7,0,N
22-Feb-2015,1014856,B,34.7,4,N
22-Feb-2015,1015073,B,27.9,4,N
22-Feb-2015,1015672,C,51.9,0,N
22-Feb-2015,1015855,C,10.42,5,N
22-Feb-2015,1016443,E,37.2,5,N
22-Feb-2015,1018426,A,32.9,2,N
22-Feb-2015,1018760,A,12,5,N
23-Feb-2015,1011399,A,15.9,5,N
23-Feb-2015,1014227,E,59.2,0,N
23-Feb-2015,1015672,C,40.6,4,N
23-Feb-2015,1016627,C,39.3,2,N
23-Feb-2015,1017123,E,37.9,3,N
23-Feb-2015,1017256,A,7.6,3,N
23-Feb-2015,1019483,D,7.6,5,N
24-Feb-2015,1014632,A,33.4,5,N
24-Feb-2015,1015205,D,24.5,5,N
24-Feb-2015,1015320,B,5.7,5,N
24-Feb-2015,1015964,B,55.3,4,N
24-Feb-2015,1017605,B,23,5,N
24-Feb-2015,1018302,D,46.1,0,N
24-Feb-2015,1018359,E,25.7,1,N
24-Feb-2015,1018413,A,10.16,1,N
25-Feb-2015,1011779,A,8.3,5,N
25-Feb-2015,1012262,B,38.8,0,N
25-Feb-2015,1012478,E,14,5,N
25-Feb-2015,1014207,D,52.8,5,N
25-Feb-2015,1016571,A,43.6,0,N
25-Feb-2015,1018130,C,18.9,0,N
26-Feb-2015,1011048,B,22.9,4,N
26-Feb-2015,1011138,E,20,4,N
26-Feb-2015,1011697,E,21.5,0,N
26-Feb-2015,1011713,B,64.1,5,N
26-Feb-2015,1011997,A,50.3,0,N
26-Feb-2015,1012466,B,5.1,5,N
26-Feb-2015,1016423,A,14.8,5,N
26-Feb-2015,1016848,A,38.3,2,N
26-Feb-2015,1017471,D,22.8,1,N
26-Feb-2015,1017840,A,48.3,0,N
27-Feb-2015,1010479,D,41.3,4,N
27-Feb-2015,1013664,C,60.2,5,N
27-Feb-2015,1015710,E,52.5,5,N
27-Feb-2015,1018413,E,7.2,1,N
28-Feb-2015,1012058,A,28.7,5,N
28-Feb-2015,1015211,C,25.9,3,N
28-Feb-2015,1015740,A,9.8,5,N
28-Feb-2015,1016429,E,33,0,N
28-Feb-2015,1016865,C,39,0,N
28-Feb-2015,1017528,E,44.9,3,N
28-Feb-2015,1018130,E,19.2,0,N
01-Mar-2015,1011016,B,24.9,0,N
01-Mar-2015,1014550,D,25.8,5,N
01-Mar-2015,1016037,D,51.8,0,N
01-Mar-2015,1018068,E,32.9,3,N
01-Mar-2015,1018224,C,23.9,0,N
01-Mar-2015,1018727,A,15.6,5,N
01-Mar-2015,1019687,A,37.9,0,N
02-Mar-2015,1012154,B,55.5,5,N
02-Mar-2015,1012527,E,15.5,5,N
02-Mar-2015,1013986,C,6.3,5,N
02-Mar-2015,1014632,E,19.6,0,N
02-Mar-2015,1014665,C,10.71,0,N
02-Mar-2015,1014680,B,52.1,4,N
02-Mar-2015,1015482,E,57.8,0,N
02-Mar-2015,1017898,D,21.8,0,N
03-Mar-2015,1011938,D,45.1,5,N
03-Mar-2015,1014056,D,60.8,4,N
03-Mar-2015,1014992,C,31.5,4,N
03-Mar-2015,1018068,E,20,0,N
03-Mar-2015,1018783,D,42.2,1,Y
03-Mar-2015,1018833,D,46.4,3,N
03-Mar-2015,1019441,C,50.5,2,N
03-Mar-2015,1019467,A,22.8,2,N
04-Mar-2015,1010726,C,28.6,5,N
04-Mar-2015,1011399,B,18.7,5,N
04-Mar-2015,1015951,A,43.1,0,N
04-Mar-2015,1018005,C,22.8,5,N
05-Mar-2015,1010341,A,22,0,N
05-Mar-2015,1010616,D,31.7,5,N
05-Mar-2015,1010975,E,52.9,5,N
05-Mar-2015,1013071,E,39.2,5,N
05-Mar-2015,1018362,A,11.7,1,N
05-Mar-2015,1018859,E,20.7,5,N
06-Mar-2015,1011373,B,25.5,5,N
06-Mar-2015,1011773,A,11.3,5,N
06-Mar-2015,1012170,C,16.5,5,N
06-Mar-2015,1015764,A,30,3,N
06-Mar-2015,1015951,D,70.8,0,N
06-Mar-2015,1016642,E,10.15,2,N
06-Mar-2015,1018970,C,11.4,4,N
07-Mar-2015,1016149,A,46.1,5,N
07-Mar-2015,1016880,A,10.1,1,N
07-Mar-2015,1017256,A,29,1,N
08-Mar-2015,1011254,D,10.3,5,N
08-Mar-2015,1011415,B,10.45,5,N
08-Mar-2015,1014531,B,21.7,4,N
08-Mar-2015,1016336,D,68.4,4,N
09-Mar-2015,1010816,B,54.2,5,N
09-Mar-2015,1010961,A,38.6,5,N
09-Mar-2015,1011417,D,36.7,5,N
09-Mar-2015,1013124,E,25.5,5,N
09-Mar-2015,1013766,D,35.1,3,N
09-Mar-2015,1014207,C,54.4,5,N
09-Mar-2015,1014402,B,21.5,5,N
09-Mar-2015,1015060,B,40.3,5,N
09-Mar-2015,1015600,D,50.6,5,N
09-Mar-2015,1015780,E,48.9,4,N
09-Mar-2015,1017624,D,34.6,0,N
09-Mar-2015,1018554,E,10.44,3,N
09-Mar-2015,1018596,B,82.6,0,N
09-Mar-2015,1018908,C,9.4,2,N
09-Mar-2015,1019572,B,46.3,5,N
10-Mar-2015,1013800,A,49.5,4,N
10-Mar-2015,1014723,E,39.7,4,N
10-Mar-2015,1015411,A,11.5,3,N
11-Mar-2015,1010467,B,8.5,5,N
11-Mar-2015,1011377,A,22.1,5,N
11-Mar-2015,1011640,C,51.1,4,N
11-Mar-2015,1013370,C,32.6,5,N
11-Mar-2015,1014567,B,10.9,0,N
11-Mar-2015,1014887,E,40.4,5,N
11-Mar-2015,1015395,D,22.9,5,N
11-Mar-2015,1016232,D,16.4,3,N
11-Mar-2015,1016373,E,37.9,3,N
11-Mar-2015,1018275,A,63.6,3,N
11-Mar-2015,1018422,E,32.3,3,N
11-Mar-2015,1019447,A,52.1,5,N
12-Mar-2015,1011127,A,35.8,4,N
12-Mar-2015,1012619,B,15.4,3,N
12-Mar-2015,1015317,C,9,5,N
12-Mar-2015,1015882,D,32,5,N
12-Mar-2015,1018707,C,14.2,1,N
13-Mar-2015,1011107,B,41.2,4,N
13-Mar-2015,1011799,E,17,5,N
13-Mar-2015,1015008,D,21.4,3,N
13-Mar-2015,1015027,E,55,5,N
13-Mar-2015,1015128,A,40.9,0,N
13-Mar-2015,1015381,B,32.4,5,N
13-Mar-2015,1015740,E,20.2,3,N
13-Mar-2015,1015764,C,45.5,4,N
13-Mar-2015,1016085,C,10.6,0,N
13-Mar-2015,1016533,B,15.2,3,N
13-Mar-2015,1019265,C,23.7,1,N
14-Mar-2015,1011981,A,69.4,0,N
14-Mar-2015,1012996,E,21.1,5,N
14-Mar-2015,1015027,A,42.4,0,N
14-Mar-2015,1015411,B,40.3,3,N
14-Mar-2015,1015420,B,74.9,4,N
14-Mar-2015,1019293,D,56.5,0,N
15-Mar-2015,1012348,C,52,4,N
15-Mar-2015,1012395,A,22.5,5,N
15-Mar-2015,1014137,C,47,5,N
15-Mar-2015,1015411,D,40.8,3,N
15-Mar-2015,1016112,D,44.4,5,N
15-Mar-2015,1017696,B,31.6,5,N
15-Mar-2015,1018341,B,10.07,0,N
16-Mar-2015,1010962,C,36.9,5,N
16-Mar-2015,1011388,C,24.3,5,N
16-Mar-2015,1011752,C,34,5,N
16-Mar-2015,1016218,A,50.3,5,N
16-Mar-2015,1016315,B,22.5,5,N
16-Mar-2015,1017120,C,23.2,4,N
16-Mar-2015,1017279,E,34.3,3,N
16-Mar-2015,1018011,C,57.7,5,N
16-Mar-2015,1018254,C,36.8,5,N
16-Mar-2015,1018302,B,28.5,5,N
16-Mar-2015,1019191,A,41.7,2,N
17-Mar-2015,1010467,B,10.96,4,N
17-Mar-2015,1011164,D,23.5,5,N
17-Mar-2015,1011672,A,59.2,5,N
17-Mar-2015,1012527,D,39.5,5,N
17-Mar-2015,1014017,E,41.1,5,N
17-Mar-2015,1015205,C,38.5,5,N
17-Mar-2015,1018620,A,25.2,1,N
17-Mar-2015,1018783,B,29.5,3,N
18-Mar-2015,1010408,B,18.6,5,N
18-Mar-2015,1011686,B,35,0,N
18-Mar-2015,1014742,B,24.2,4,N
18-Mar-2015,1017992,A,19.7,5,N
19-Mar-2015,1011315,B,11.4,5,N
19-Mar-2015,1016722,E,32.6,2,N
19-Mar-2015,1018254,B,37.9,2,N
20-Mar-2015,1012785,B,41,5,N
20-Mar-2015,1014953,D,10.18,5,N
20-Mar-2015,1016443,E,10.5,5,N
20-Mar-2015,1018199,C,51.9,0,N
20-Mar-2015,1018987,E,41.7,2,N
21-Mar-2015,1010438,A,36.3,5,N
21-Mar-2015,1010514,A,20.4,4,N
21-Mar-2015,1012336,A,42,5,N
21-Mar-2015,1013867,C,56.8,5,N
21-Mar-2015,1015502,B,44.1,3,N
21-Mar-2015,1015581,C,10,5,N
21-Mar-2015,1016053,E,39.5,3,N
21-Mar-2015,1016423,C,44.9,3,N
21-Mar-2015,1018385,B,22.9,4,N
22-Mar-2015,1010546,D,53.6,5,N
22-Mar-2015,1011759,B,41.7,4,N
22-Mar-2015,1011849,C,17,4,N
22-Mar-2015,1013223,D,8.3,5,N
22-Mar-2015,1013934,D,30,4,N
22-Mar-2015,1015441,B,63.3,5,N
23-Mar-2015,1010961,C,53.3,0,N
23-Mar-2015,1012175,A,13.4,5,N
23-Mar-2015,1012195,D,39.8,5,N
23-Mar-2015,1015128,C,34.7,0,N
23-Mar-2015,1015185,E,21,4,N
23-Mar-2015,1019359,D,56.9,3,N
24-Mar-2015,1010857,C,10.9,5,N
24-Mar-2015,1012170,B,47.8,5,N
24-Mar-2015,1014089,C,6.6,3,N
24-Mar-2015,1014912,B,45.9,0,N
24-Mar-2015,1015205,B,50.2,5,N
24-Mar-2015,1017370,D,10.4,5,N
24-Mar-2015,1017406,D,18.1,1,N
24-Mar-2015,1018554,A,35.1,2,N
